xrange,canard,canard_plus_axial
0.001,0.525,0.525
0.002,0.998,0.998
0.003,1.0,1.0
0.004,1.0,1.0
0.005,1.0,1.0
0.006,1.0,1.0
0.007,1.0,1.0
0.008,1.0,1.0
0.009,1.0,1.0
0.01,1.0,1.0
0.011,1.0,1.0
0.012,1.0,1.0
0.013,1.0,1.0
0.014,1.0,1.0
0.015,1.0,1.0
0.016,1.0,1.0
0.017,1.0,1.0
0.018,1.0,1.0
0.019,1.0,1.0
0.02,1.0,1.0
0.021,1.0,1.0
0.022,1.0,1.0
0.023,1.0,1.0
0.024,1.0,1.0
0.025,1.0,1.0
0.026,1.0,1.0
0.027,1.0,1.0
0.028,1.0,1.0
0.029,1.0,1.0
0.03,1.0,1.0
0.031,1.0,1.0
0.032,1.0,1.0
0.033,1.0,1.0
0.034,1.0,1.0
0.035,1.0,1.0
0.036,1.0,1.0
0.037,1.0,1.0
0.038,1.0,1.0
0.039,1.0,1.0
0.04,1.0,1.0
0.041,1.0,1.0
0.042,1.0,1.0
0.043,1.0,1.0
0.044,1.0,1.0
0.045,1.0,1.0
0.046,1.0,1.0
0.047,1.0,1.0
0.048,1.0,1.0
0.049,1.0,1.0
0.05,1.0,1.0
0.051,1.0,1.0
0.052,1.0,1.0
0.053,1.0,1.0
0.054,1.0,1.0
0.055,1.0,1.0
0.056,1.0,1.0
0.057,1.0,1.0
0.058,1.0,1.0
0.059,1.0,1.0
0.06,1.0,1.0
0.061,1.0,1.0
0.062,1.0,1.0
0.063,1.0,1.0
0.064,1.0,1.0
0.065,1.0,1.0
0.066,1.0,1.0
0.067,1.0,1.0
0.068,1.0,1.0
0.069,1.0,1.0
0.07,1.0,1.0
0.071,1.0,1.0
0.072,1.0,1.0
0.073,1.0,1.0
0.074,1.0,1.0
0.075,1.0,1.0
0.076,1.0,1.0
0.077,1.0,1.0
0.078,1.0,1.0
0.079,1.0,1.0
0.08,1.0,1.0
0.081,1.0,1.0
0.082,1.0,1.0
0.083,0.99,0.99
0.084,0.989,0.989
0.085,0.984,0.984
0.086,0.962,0.962
0.087,0.922,0.922
0.088,0.862,0.862
0.089,0.8,0.8
0.09,0.742,0.742
0.091,0.672,0.672
0.092,0.548,0.548
0.093,0.474,0.474
0.094,0.38,0.38
0.095,0.292,0.292
0.096,0.259,0.259
0.097,0.185,0.185
0.098,0.142,0.142
0.099,0.107,0.107
0.1,0.079,0.079
0.101,0.047,0.047
0.102,0.04,0.04
0.103,0.022,0.022
0.104,0.019,0.019
0.105,0.016,0.016
0.106,0.009,0.009
0.107,0.008,0.008
0.108,0.0,0.0
0.109,0.002,0.002
0.11,0.001,0.001
0.111,0.0,0.0
0.112,0.0,0.0
0.113,0.0,0.0
0.114,0.001,0.001
0.115,0.0,0.0
0.116,0.0,0.0
0.117,0.0,0.0
0.118,0.001,0.001
0.119,0.0,0.0
0.12,0.0,0.0
0.121,0.0,0.0
0.122,0.0,0.0
0.123,0.0,0.0
0.124,0.0,0.0
0.125,0.0,0.0
0.126,0.0,0.0
0.127,0.0,0.0
0.128,0.0,0.0
0.129,0.0,0.0
0.13,0.0,0.0
0.131,0.0,0.0
0.132,0.0,0.0
0.133,0.0,0.0
0.134,0.0,0.0
0.135,0.0,0.0
0.136,0.0,0.0
0.137,0.0,0.0
0.138,0.0,0.0
0.139,0.0,0.0
0.14,0.0,0.0
0.141,0.0,0.0
0.142,0.0,0.0
0.143,0.0,0.0
0.144,0.0,0.0
0.145,0.0,0.0
0.146,0.0,0.0
0.147,0.0,0.0
0.148,0.0,0.0
0.149,0.0,0.0
0.15,0.0,0.0
