xrange,canard,canard_plus_axial
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.0,0.0
0.08,0.0,0.0
0.09,0.0,0.0
0.1,0.0,0.0
0.11,0.0,0.0
0.12,0.0,0.0
0.13,0.0,0.0
0.14,0.0,0.0
0.15,0.0,0.0
0.16,0.0,0.0
0.17,0.0,0.0
0.18,0.0,0.0
0.19,0.0,0.0
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24,0.0,0.0
0.25,0.0,0.0
0.26,0.0,0.0
0.27,0.0,0.0
0.28,0.0,0.0
0.29,0.0,0.0
0.3,0.0,0.0
0.31,0.0,0.0
0.32,0.0,0.0
0.33,0.0,0.0
0.34,0.0,0.0
0.35,0.0,0.0
0.36,0.0,0.0
0.37,0.0,0.0
0.38,0.0,0.0
0.39,0.0,0.0
0.4,0.0,0.0
0.41,0.0,0.0
0.42,0.0,0.0
0.43,0.0,0.0
0.44,0.0,0.0
0.45,0.0,0.0
0.46,0.0,0.0
0.47,0.0,0.0
0.48,0.0,0.0
0.49,0.0,0.0
0.5,0.0,0.0
0.51,0.0,0.0
0.52,0.0,0.0
0.53,0.0,0.0
0.54,0.0,0.0
0.55,0.0,0.0
0.56,0.0,0.0
0.57,0.0,0.0
0.58,0.0,0.0
0.59,0.0,0.0
0.6,0.001,0.001
0.61,0.002,0.002
0.62,0.002,0.002
0.63,0.002,0.002
0.64,0.003,0.003
0.65,0.004,0.004
0.66,0.007,0.007
0.67,0.008,0.008
0.68,0.012,0.012
0.69,0.019,0.019
0.7,0.026,0.026
0.71,0.036,0.036
0.72,0.042,0.042
0.73,0.051,0.051
0.74,0.06,0.06
0.75,0.082,0.082
0.76,0.104,0.104
0.77,0.136,0.136
0.78,0.171,0.171
0.79,0.208,0.208
0.8,0.25,0.25
0.81,0.288,0.288
0.82,0.336,0.336
0.83,0.405,0.405
0.84,0.457,0.457
0.85,0.528,0.528
0.86,0.601,0.601
0.87,0.678,0.678
0.88,0.753,0.753
0.89,0.805,0.805
0.9,0.861,0.861
