xrange,canard,canard_plus_axial
0.0,0.993,0.993
0.01,0.993,0.993
0.02,0.993,0.993
0.03,0.993,0.993
0.04,0.993,0.993
0.05,0.994,0.994
0.06,0.994,0.994
0.07,0.994,0.994
0.08,0.995,0.995
0.09,0.995,0.995
0.1,0.995,0.995
0.11,0.996,0.996
0.12,0.996,0.996
0.13,0.996,0.996
0.14,0.996,0.996
0.15,0.996,0.996
0.16,0.996,0.996
0.17,0.997,0.997
0.18,0.995,0.995
0.19,0.996,0.996
0.2,0.996,0.996
0.21,0.996,0.996
0.22,0.996,0.996
0.23,0.996,0.996
0.24,0.996,0.996
0.25,0.996,0.996
0.26,0.996,0.996
0.27,0.996,0.996
0.28,0.996,0.996
0.29,0.996,0.996
0.3,0.996,0.996
0.31,0.996,0.996
0.32,0.996,0.996
0.33,0.995,0.996
0.34,0.994,0.996
0.35,0.994,0.996
0.36,0.994,0.996
0.37,0.994,0.996
0.38,0.994,0.996
0.39,0.994,0.996
0.4,0.994,0.996
0.41,0.994,0.996
0.42,0.994,0.996
0.43,0.994,0.996
0.44,0.994,0.996
0.45,0.993,0.996
0.46,0.993,0.996
0.47,0.993,0.996
0.48,0.99,0.995
0.49,0.987,0.995
0.5,0.984,0.995
0.51,0.983,0.995
0.52,0.981,0.996
0.53,0.981,0.996
0.54,0.979,0.995
0.55,0.977,0.995
0.56,0.976,0.994
0.57,0.969,0.99
0.58,0.965,0.986
0.59,0.964,0.987
0.6,0.962,0.986
0.61,0.962,0.986
0.62,0.956,0.986
0.63,0.954,0.986
0.64,0.949,0.987
0.65,0.942,0.986
0.66,0.927,0.9830000000000001
0.67,0.919,0.982
0.68,0.921,0.9870000000000001
0.69,0.913,0.984
0.7,0.902,0.984
0.71,0.891,0.982
0.72,0.883,0.981
0.73,0.873,0.977
0.74,0.861,0.972
0.75,0.844,0.971
0.76,0.834,0.975
0.77,0.817,0.971
0.78,0.811,0.9770000000000001
0.79,0.784,0.968
0.8,0.765,0.972
0.81,0.739,0.967
0.82,0.724,0.968
0.83,0.698,0.965
0.84,0.675,0.9550000000000001
0.85,0.645,0.9550000000000001
0.86,0.618,0.954
0.87,0.6,0.95
0.88,0.56,0.9470000000000001
0.89,0.531,0.934
0.9,0.5,0.9239999999999999
